Bug 1,Bug 2,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
36089,35823,0.0,7.9,5.2,4.26,3.79,7.45,5.06,3.87,3.63,4.41,5.68,3.38,0.0,6.97,7.97,3.09,3.74,11.0,7.14,1.64,0.65,3.48,5.26,3.87,0.942,dup
36089,35264,0.0,7.9,5.2,4.26,3.79,7.45,5.06,3.87,3.63,4.41,5.68,3.38,0.0,9.29,5.72,4.47,4.22,12.97,7.19,1.36,2.62,4.09,5.94,4.74,0.961,dup
36072,32849,2.18,6.72,7.51,2.34,1.04,12.63,10.12,1.89,1.76,6.4,5.39,3.51,2.97,9.0,9.94,9.21,6.61,13.94,13.27,3.2,3.45,9.14,9.59,4.34,0.954,dup
35997,35279,0.68,8.79,4.84,2.97,4.29,7.83,5.88,3.14,3.75,4.82,5.69,3.03,0.83,4.88,4.66,1.86,2.43,5.66,4.64,1.72,3.97,3.52,6.14,1.28,0.969,dup
35992,35506,0.25,3.37,2.25,1.86,1.74,4.39,3.05,1.26,2.29,1.64,2.79,2.21,0.94,4.32,4.75,3.58,1.65,6.83,6.64,2.19,1.32,3.6,3.54,3.24,0.961,dup
35992,34999,0.25,3.37,2.25,1.86,1.74,4.39,3.05,1.26,2.29,1.64,2.79,2.21,1.55,4.66,5.03,2.66,3.44,4.78,3.65,0.0,1.16,3.33,2.0,2.24,0.925,dup
35992,33964,0.25,3.37,2.25,1.86,1.74,4.39,3.05,1.26,2.29,1.64,2.79,2.21,4.51,12.97,8.8,7.63,6.47,13.76,10.66,4.93,3.38,5.45,8.28,4.72,0.971,dup
35992,33789,0.25,3.37,2.25,1.86,1.74,4.39,3.05,1.26,2.29,1.64,2.79,2.21,0.06,3.76,2.94,2.46,1.58,4.06,3.82,1.23,2.43,1.93,3.16,1.83,0.99,dup
35988,35064,0.0,3.82,0.0,2.48,0.0,1.13,2.47,0.0,2.47,1.58,2.47,1.13,3.02,13.78,7.82,4.36,9.24,17.6,11.51,5.35,4.11,5.58,13.62,5.36,0.775,dup
35972,35971,0.81,6.13,7.15,2.56,4.75,9.85,10.42,1.55,3.05,5.14,6.6,3.23,0.81,6.13,7.15,2.56,4.75,9.85,10.42,1.55,3.05,5.14,6.6,3.23,1.0,dup
35944,35880,0.46,4.01,4.17,2.28,2.28,7.6,3.88,1.83,1.66,2.28,3.02,1.83,0.96,7.31,4.74,2.44,3.26,11.07,6.34,2.06,2.73,4.16,6.44,2.32,0.984,dup
35944,35715,0.46,4.01,4.17,2.28,2.28,7.6,3.88,1.83,1.66,2.28,3.02,1.83,0.0,5.08,1.48,2.57,1.06,2.55,1.48,0.2,0.81,0.2,1.21,0.2,0.816,dup
35944,35714,0.46,4.01,4.17,2.28,2.28,7.6,3.88,1.83,1.66,2.28,3.02,1.83,0.99,6.51,4.97,2.74,3.84,8.39,5.52,1.93,3.19,4.37,6.34,2.52,0.974,dup
35880,35715,0.96,7.31,4.74,2.44,3.26,11.07,6.34,2.06,2.73,4.16,6.44,2.32,0.0,5.08,1.48,2.57,1.06,2.55,1.48,0.2,0.81,0.2,1.21,0.2,0.829,dup
35880,35714,0.96,7.31,4.74,2.44,3.26,11.07,6.34,2.06,2.73,4.16,6.44,2.32,0.99,6.51,4.97,2.74,3.84,8.39,5.52,1.93,3.19,4.37,6.34,2.52,0.99,dup
35823,35264,0.0,6.97,7.97,3.09,3.74,11.0,7.14,1.64,0.65,3.48,5.26,3.87,0.0,9.29,5.72,4.47,4.22,12.97,7.19,1.36,2.62,4.09,5.94,4.74,0.98,dup
35759,35653,0.0,6.84,3.23,3.06,1.7,6.39,6.11,1.95,1.54,1.95,2.62,1.25,0.0,6.38,4.08,2.39,5.25,13.73,6.92,0.43,2.39,2.28,5.37,0.82,0.919,dup
35759,35414,0.0,6.84,3.23,3.06,1.7,6.39,6.11,1.95,1.54,1.95,2.62,1.25,1.23,8.34,5.65,7.86,6.01,8.78,7.3,3.39,2.37,6.81,6.73,2.37,0.935,dup
35759,34880,0.0,6.84,3.23,3.06,1.7,6.39,6.11,1.95,1.54,1.95,2.62,1.25,1.83,9.5,9.33,6.94,4.84,10.12,11.43,3.84,3.7,4.75,6.61,3.7,0.967,dup
35715,35714,0.0,5.08,1.48,2.57,1.06,2.55,1.48,0.2,0.81,0.2,1.21,0.2,0.99,6.51,4.97,2.74,3.84,8.39,5.52,1.93,3.19,4.37,6.34,2.52,0.829,dup
35653,35414,0.0,6.38,4.08,2.39,5.25,13.73,6.92,0.43,2.39,2.28,5.37,0.82,1.23,8.34,5.65,7.86,6.01,8.78,7.3,3.39,2.37,6.81,6.73,2.37,0.885,dup
35653,34880,0.0,6.38,4.08,2.39,5.25,13.73,6.92,0.43,2.39,2.28,5.37,0.82,1.83,9.5,9.33,6.94,4.84,10.12,11.43,3.84,3.7,4.75,6.61,3.7,0.896,dup
35518,34890,2.18,4.28,6.78,5.74,3.91,12.59,7.69,1.75,2.33,4.44,4.65,2.87,1.84,7.13,8.6,5.08,4.19,16.91,10.9,2.17,2.77,5.58,7.0,2.75,0.99,dup
35506,34999,0.94,4.32,4.75,3.58,1.65,6.83,6.64,2.19,1.32,3.6,3.54,3.24,1.55,4.66,5.03,2.66,3.44,4.78,3.65,0.0,1.16,3.33,2.0,2.24,0.938,dup
35506,33964,0.94,4.32,4.75,3.58,1.65,6.83,6.64,2.19,1.32,3.6,3.54,3.24,4.51,12.97,8.8,7.63,6.47,13.76,10.66,4.93,3.38,5.45,8.28,4.72,0.968,dup
35506,33789,0.94,4.32,4.75,3.58,1.65,6.83,6.64,2.19,1.32,3.6,3.54,3.24,0.06,3.76,2.94,2.46,1.58,4.06,3.82,1.23,2.43,1.93,3.16,1.83,0.969,dup
35500,34170,2.48,10.57,9.15,7.83,6.72,12.43,9.3,2.49,1.44,4.93,12.81,4.88,0.87,7.56,3.17,4.56,1.62,6.14,3.95,1.45,1.05,2.96,5.94,3.54,0.968,dup
35499,35498,1.91,7.86,7.29,3.66,4.59,11.16,7.72,1.93,3.19,5.28,8.01,2.52,1.79,5.76,5.77,3.54,3.84,9.18,6.32,1.93,3.19,5.16,7.14,2.52,0.996,dup
35494,35247,0.9,5.86,6.85,2.8,4.25,10.07,6.07,2.59,1.69,3.21,8.56,2.17,1.1,4.67,3.94,1.1,2.44,8.12,3.99,1.68,1.2,1.44,2.83,2.52,0.954,dup
35422,34686,2.66,9.11,11.28,6.74,6.28,13.57,9.65,3.39,4.8,4.68,8.46,3.75,1.05,11.05,7.02,5.97,5.96,16.81,11.83,3.72,3.98,5.05,8.85,2.42,0.973,dup
35414,34880,1.23,8.34,5.65,7.86,6.01,8.78,7.3,3.39,2.37,6.81,6.73,2.37,1.83,9.5,9.33,6.94,4.84,10.12,11.43,3.84,3.7,4.75,6.61,3.7,0.967,dup
35401,35400,1.39,6.18,3.2,2.91,2.62,4.68,3.77,2.11,1.04,1.85,4.38,2.1,1.39,6.18,3.2,2.91,2.62,4.68,3.77,2.11,1.04,1.85,4.38,2.1,1.0,dup
35397,35395,1.77,9.61,6.5,5.09,5.25,11.13,9.09,2.5,2.95,7.94,8.61,3.7,1.82,10.18,6.85,5.38,4.94,11.46,9.99,2.64,3.14,7.9,8.7,3.84,0.999,dup
