Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
26631,26630,0.0,0.0,0.0,0.0,1.0,1.0,0.2,2.04,8.48,10.26,6.4,2.66,10.39,3.24,0.99,1.88,4.76,5.57,2.91,0.0,3.9,2.43,1.34,3.28,7.1,4.76,0.75,2.57,3.9,4.27,1.34,0.87,non
5569,5568,1.47,0.0,0.0,0.0,1.0,1.0,0.33,0.57,6.92,2.85,2.28,2.85,4.95,4.87,1.44,1.64,3.72,4.65,2.42,0.0,1.31,2.38,2.17,0.0,0.0,2.17,0.0,0.0,0.85,0.85,0.0,0.704,non
22998,22997,0.89,0.0,0.0,0.0,1.0,1.0,0.2,0.22,6.72,4.29,3.08,2.86,12.99,7.29,2.41,2.09,3.35,4.63,2.66,0.37,8.79,3.04,3.9,4.12,10.64,5.87,1.58,1.61,5.63,4.48,2.64,0.969,non
18104,18103,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.68,10.93,7.58,5.75,6.39,9.75,9.28,4.42,3.49,5.24,4.66,2.35,0.99,5.76,4.97,2.74,3.84,8.39,5.52,1.93,3.19,4.37,6.34,2.52,0.958,non
5885,5884,1.04,0.0,0.0,0.0,0.0,1.0,0.0,3.54,15.35,9.65,10.62,9.08,14.24,11.98,7.12,6.74,7.93,8.39,7.62,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.359,non
24772,24771,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.82,8.27,8.18,5.49,5.01,13.88,6.54,5.17,3.39,5.16,8.3,2.69,0.98,1.75,3.29,1.75,1.75,3.48,1.75,1.75,1.75,1.75,1.75,1.75,0.957,non
16080,16079,1.93,0.31,0.0,0.0,1.0,1.0,0.3,0.0,7.36,4.18,3.21,5.11,6.86,6.56,3.84,4.43,5.05,7.46,2.75,0.26,5.54,2.12,1.8,1.83,6.37,1.98,0.76,2.28,0.82,4.4,1.9,0.916,non
28407,28406,0.54,0.0,0.0,0.0,1.0,1.0,0.0,0.87,7.27,5.12,3.58,5.12,5.12,5.12,1.98,1.64,3.52,5.12,1.98,3.32,10.49,7.72,8.05,7.4,11.46,10.18,3.49,3.11,6.08,9.28,4.48,0.982,non
20160,20159,1.41,0.0,0.0,0.0,0.0,1.0,0.0,0.48,3.52,3.32,2.56,2.97,6.93,4.83,0.84,1.52,1.86,1.86,1.97,0.77,10.9,6.4,5.77,5.82,11.6,9.17,5.33,3.76,6.74,7.46,4.93,0.952,non
31548,31547,3.75,2.78,0.0,0.0,1.0,1.0,0.0,1.3,7.65,4.2,4.54,4.29,9.77,6.54,2.37,1.94,5.03,7.36,2.97,0.4,6.95,4.66,3.76,4.07,8.51,7.0,3.15,2.41,5.05,6.2,3.16,0.993,non
22056,22055,0.97,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.25,3.51,2.86,2.94,9.62,4.16,0.53,2.22,2.91,6.13,1.14,0.42,5.06,4.86,3.56,2.03,5.05,5.17,2.92,2.38,2.68,5.71,1.36,0.927,non
36624,36623,1.89,0.0,0.0,0.0,1.0,1.0,0.0,2.48,12.68,9.05,8.8,8.74,16.72,12.77,3.91,4.31,7.48,11.5,6.11,1.34,5.13,2.84,1.0,2.66,6.83,4.67,0.18,1.05,0.98,3.34,0.3,0.945,non
